Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
B,A,E,A,A,C,B,A,D,A
C,A,B,E,C,C,A,A,A,A
B,A,B,A,C,C,B,A,C,A
B,C,D,A,B,C,C,A,A,A
A,B,E,A,D,C,B,A,A,A
A,A,A,B,D,D,B,A,D,B
A,A,A,C,C,A,C,B,A,B
A,A,B,B,C,B,A,B,D,B
A,A,B,C,B,C,B,A,D,B
A,A,B,E,C,C,B,A,D,B
A,C,A,C,A,C,B,A,D,B
A,B,A,C,B,C,A,A,D,B
A,A,A,C,B,C,C,A,D,B
A,B,B,E,C,C,B,A,D,D
A,A,E,F,B,D,C,A,B,D
A,A,B,F,A,C,C,A,D,C
A,B,D,G,C,D,A,A,D,A
A,B,C,A,D,B,B,A,C,A
B,B,A,B,C,A,B,A,C,B
B,B,C,F,D,C,C,A,B,B
B,C,C,A,B,C,B,A,D,B
B,A,D,A,B,D,B,A,A,B
A,A,B,D,D,D,C,B,B,B
A,A,C,A,D,C,B,B,A,A
A,A,D,E,C,D,C,A,A,A
A,A,E,D,C,B,C,B,A,A
A,A,B,A,C,C,B,A,C,A
A,A,D,E,C,D,B,A,D,B
A,A,A,B,C,C,A,B,D,B
A,B,B,G,C,C,A,A,D,B
A,A,E,E,C,C,B,C,D,D
A,A,A,E,C,C,C,D,D,B
A,B,A,F,C,B,A,A,D,B
A,A,A,G,A,D,C,A,D,A
A,B,A,A,C,D,C,A,D,A
A,A,A,A,A,C,A,A,D,A
A,A,A,D,C,C,C,A,B,A
A,B,A,A,C,C,A,A,A,A
A,B,A,E,B,C,B,A,D,A
B,A,C,E,B,B,A,A,A,A
A,A,C,F,D,A,B,A,A,A
A,A,B,G,B,C,C,A,B,A
A,C,D,A,C,D,A,A,A,A
A,B,E,C,A,D,A,C,D,A
A,B,C,E,C,C,B,A,B,A
A,A,D,D,C,B,B,B,D,A
A,A,B,E,C,D,A,B,B,A
A,A,A,E,B,D,B,B,D,C
A,A,E,D,C,C,B,A,D,A
A,C,A,E,C,C,B,A,D,B
A,A,A,F,C,D,C,A,D,A
A,C,A,C,C,D,C,A,D,B
A,C,A,E,C,C,A,A,D,B
A,A,A,B,C,C,A,A,D,A
A,B,A,F,C,C,B,A,D,A
A,A,A,D,C,C,C,A,D,A
A,C,A,C,D,C,A,A,B,B
A,B,A,B,D,B,C,A,D,A
A,C,B,E,D,A,C,A,D,A
A,A,A,F,D,B,D,A,D,B
A,A,A,D,D,C,A,A,C,D
B,A,A,G,C,B,D,A,C,D
A,A,A,C,C,C,A,A,C,B
A,B,A,G,C,C,B,A,D,B
B,C,D,F,C,D,A,A,A,B
A,B,A,B,C,C,D,A,D,B
B,A,D,D,C,C,B,A,D,B
A,A,C,B,C,C,B,A,D,B
A,A,E,C,C,A,B,B,D,B
A,A,A,F,C,C,C,B,D,B
A,B,C,F,C,C,A,A,D,A
A,C,E,C,C,B,B,A,D,A
A,C,E,E,B,B,B,A,D,A
A,C,B,E,C,A,B,A,D,A
A,A,D,G,C,D,A,A,A,A
A,A,D,A,B,D,B,A,C,A
A,B,D,E,C,D,C,A,A,A
A,C,C,E,C,D,A,A,A,B
A,B,B,A,D,C,A,A,C,B
A,A,A,D,D,D,B,A,D,B
A,A,D,C,B,C,A,B,B,A
A,A,A,F,C,C,D,C,B,C
A,A,A,A,B,D,C,B,D,B
A,A,D,E,B,C,B,C,A,B
A,A,A,E,C,C,A,A,C,B
A,A,E,E,A,C,B,A,D,B
A,B,A,E,C,C,B,A,A,B
B,A,A,F,C,C,C,A,D,B
C,A,C,C,C,D,B,A,B,B
A,A,D,B,C,B,D,A,D,B
A,A,C,D,C,C,C,A,D,B
A,A,E,F,C,B,C,A,C,B
A,A,B,E,C,D,A,A,C,B
A,B,B,C,C,D,A,C,D,B
A,C,E,B,C,B,C,B,A,A
A,A,B,B,C,B,B,A,B,A
A,A,E,A,C,B,C,B,A,A
A,A,D,D,C,D,A,C,D,A
A,A,B,E,B,C,C,A,D,A
B,A,A,E,C,B,A,B,D,A
B,A,D,E,C,D,C,D,D,B
A,A,E,E,C,D,C,B,D,B
B,B,E,E,C,B,A,B,D,A
B,A,E,F,C,B,C,D,D,B
C,B,B,E,C,B,B,A,C,B
A,C,B,B,D,B,D,A,B,A
B,B,E,D,D,B,A,A,B,B
C,A,E,D,B,B,C,A,A,B
B,A,B,E,C,B,C,A,C,B
B,A,E,E,C,D,B,A,B,B
A,A,B,E,D,D,A,A,D,B
A,A,E,E,B,C,B,A,D,B
A,A,E,A,D,B,B,A,D,B
A,A,E,B,B,C,A,A,D,B
A,A,C,F,C,D,C,A,D,A
A,A,A,F,C,B,B,A,D,A
A,A,D,D,C,A,C,A,D,A
A,B,D,C,C,A,A,A,B,A
A,C,C,D,C,D,B,A,C,A
A,A,A,F,C,C,C,B,D,B
A,C,A,B,B,C,C,A,B,B
A,B,A,B,C,C,B,A,A,A
A,B,C,G,D,C,A,A,A,B
A,A,D,E,B,C,B,A,D,B
A,A,D,F,A,C,A,A,D,D
A,A,D,E,A,C,D,A,D,B
A,A,A,C,B,B,C,A,D,B
A,A,E,D,C,D,C,A,D,B
A,A,E,D,C,C,A,A,D,B
A,B,E,C,C,B,A,A,D,B
B,A,A,E,C,B,C,A,D,B
A,A,A,C,C,D,C,A,D,B
A,B,A,C,C,B,B,B,D,B
A,A,E,F,C,C,B,C,D,A
A,A,B,D,C,B,A,C,D,A
A,A,E,B,C,B,B,B,D,A
A,B,E,B,B,B,A,B,D,A
A,A,A,B,C,C,B,A,D,A
B,A,C,B,B,C,B,A,D,A
A,A,C,D,D,D,A,A,D,A
A,A,B,B,C,C,A,A,A,A
A,A,A,B,C,C,B,D,C,A
A,A,C,B,C,C,B,B,A,D
A,A,A,A,C,D,B,B,D,A
B,B,E,E,B,D,A,A,D,B
